NUM_CLASSES	KLUT-OFF	KLUT-ON	KPTABLE-COH-OFF	KPTABLE-COH-ON	KPTABLE-NONCOH-OFF	KPTABLE-NONCOH-ON	NSHIFT-10	NSHIFT-6	USE2C0-OFF	USE2C0-ON
16	1202697840.2	1213862903.5	1192145295.7	1193184101.7	1339216673.3	1327184919.8	1214650535	1209422660.4	1187508267.2	1205122387
64	1208443158	1207580260.1	1199390212.3	1233417682.4	1365780043.5	1346068333.5	1217605466.6	1234440010.8	1223368564.2	1249626874.5
256	4521418272.7	2334414750.1	4454806049.2	2138579020.2	1865790061	1923872322.2	4324671441.3	1731760552.5	4291080264.7	1837884957.1
1024	15401259083.7	5603924210.1	15449777584.3	8249767559.4	6795943444.3	7041618567.1	15444407584.7	6741663403.3	15426172290.8	6873351848.7
4096	19365035590.1	7229572312.6	19519229191.8	19039990873.7	16824951043.9	18466821024.5	19476990040.9	17315921843.7	19460930643.5	16185752033.7
16384	21610721336	8804752775.5	21775476621.3	27195421185.1	21386146699.7	25278138114.9	21645970076.1	20836063374.6	21444237832.4	20880934059.2
