NUM_CLASSES	KLUT-OFF	KLUT-ON	KPTABLE-COH-OFF	KPTABLE-COH-ON	KPTABLE-NONCOH-OFF	KPTABLE-NONCOH-ON	NSHIFT-10	NSHIFT-6	USE2C0-OFF	USE2C0-ON
16	661898033.3	666161135.6	649905777.4	661286793	751409484.9	758449001.7	656250462.2	659571386.2	650950535	651053418.7
64	631314530.9	652577534	624613870.5	630835756.3	730973186.3	735718990.8	633192354	638606624.7	625684175.2	632593137.8
256	1059673075.6	994186835.6	1038408428.4	746699264.4	789309222.9	790781536.9	1041777166.1	687120515.3	1030637900.8	724482940.6
1024	2273781063.5	1747105406.6	2268832045.8	1518189597.8	1480815259.6	1522217190.7	2268013029.7	1355098868.1	2293537899	1378234755.8
4096	2994687267.3	2357261515.7	3046201688	2897063071.5	2991690310.1	3135099582.7	3006414375.4	2823624757.2	3050695569.3	2808283079.2
16384	11884719482.9	5237212912.2	12008508862.6	4993383841	4887970662.4	5185402594.9	11887555203.9	6096207064	11788478472.3	4320878607.7
