NUM_CLASSES	KLUT-OFF	KLUT-ON	KPTABLE-COH-OFF	KPTABLE-COH-ON	KPTABLE-NONCOH-OFF	KPTABLE-NONCOH-ON	NSHIFT-10	NSHIFT-6	USE2C0-OFF	USE2C0-ON
16	5376832232.8	5154769969	5338698734.3	5116323667.1	5550255046.5	5567895339.8	5629001052	5120134802.8	5452157826	5147115523.9
64	14323266786.3	6332377465	14329138898.9	7312344976.9	7458617830.6	7538524855.3	14410916336.3	6386538983.6	14438075697.6	6338680723.3
256	19924792720.5	8829815699.7	20046133415.2	16536581538.6	14722972876.3	15650084514.7	19975971587.5	14056386094.3	20087675330.2	14326997535.6
1024	21586504235	9699391179.8	21675465048.7	23154656930.8	20689426515.4	23345203105.2	21672117054.4	19557776070.2	21678818386	19718128630
4096	22922584539.5	11577031986.8	23242976869.5	29842428312.2	23646766557.7	28655854271.6	23087879741.3	22321519271.3	23167213038.5	22747977272.7
16384	25726992715.7	14862402761.5	25448372504	34988949890.3	25293602182.8	31430809690.2	25341660705.8	24440688041	24619844996.2	26883215955.4
