NUM_CLASSES	KLUT-OFF	KLUT-ON	KPTABLE-COH-OFF	KPTABLE-COH-ON	KPTABLE-NONCOH-OFF	KPTABLE-NONCOH-ON	NSHIFT-10	NSHIFT-6	USE2C0-OFF	USE2C0-ON
16	262631325773.4	256273980667	258395079756.9	269023759812.3	256633646873.5	268071591511.8	263582364093.7	263134180372.9	275328425447.9	275057859342.3
64	260276445148.7	255658108720.7	255151086169.3	270600205137.6	256359169578.2	268136954423.8	259693924022.9	263434805772.6	274078507523.3	276015276671.1
256	261050760667.9	255546011645.9	256303862734.6	269307877331.7	255459429157.2	267502976596.5	261287874609.4	262814526328.4	273496426331.4	273903425081.5
1024	263213361540.1	258429333626.3	257807862398.8	270102945529.3	255895485635.4	267686670672.4	264057348316.5	263274713198	274871925909	275573957041.3
4096	270741787812.1	266180654539.2	264330393322.9	276513096320.4	262655391810	274922793762.2	271930345051.9	270233616461.8	282266121305.3	282370460219.9
16384	284039476574	278463748608.5	280490627770.1	289071936099.8	272779651479.2	281760873864.2	284553066334.6	281486869785.4	296128435704.5	295183259133
