NUM_CLASSES	KLUT-OFF	KLUT-ON	KPTABLE-COH-OFF	KPTABLE-COH-ON	KPTABLE-NONCOH-OFF	KPTABLE-NONCOH-ON	NSHIFT-10	NSHIFT-6	USE2C0-OFF	USE2C0-ON
16	1043211441450.7	1040953759649.7	1014285243442.3	1016793790275.6	1030361873971.8	1028230853564.5	1044609067898.9	1043282165667.5	1072060648793.8	1086731170937.7
64	1041844739366.7	1043777865495.8	1016390485844.4	1021989475991.8	1032771329718.9	1032679175898.1	1044168233985.2	1044066367547.6	1076246131267	1091110974123.7
256	1049672496008.7	1047201557340.2	1023927017984.6	1023368553540.7	1037575833160.3	1034868614607	1049455251043.1	1049415023928.4	1079006549841.8	1096327536931.9
1024	1062786807284.9	1058934250869.6	1035534435770.9	1034560912025.5	1043349075739.2	1040749582307.6	1063116793390.1	1058131326412	1092311199354.7	1102274832714.7
4096	1086230404746.2	1081255204661.7	1062356431107.6	1064076983836.2	1072977266819.4	1072115124653.4	1088591098616.3	1088453641890.1	1114167996083.7	1129071455698.6
16384	1149381364102.2	1139544067864	1126438371237.5	1109344935979.1	1118965978547	1115160856176.3	1154641305784.1	1137173606251.2	1176457078659.5	1177142913043.8
